,form,lexeme,morph_descr,category
0,porucznik,porucznik,subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f,profession
1,porucznik,porucznik,subst:sg:nom:m1,profession
2,porucznika,porucznik,subst:sg:gen.acc:m1,profession
3,porucznikowi,porucznik,subst:sg:dat:m1,profession
4,porucznikiem,porucznik,subst:sg:inst:m1,profession
5,poruczniku,porucznik,subst:sg:loc:m1,profession
6,poruczniku,porucznik,subst:sg:voc:m1,profession
7,porucznicy,porucznik,subst:pl:nom.voc:m1,profession
8,poruczników,porucznik,subst:pl:gen.acc:m1,profession
9,porucznikom,porucznik,subst:pl:dat:m1,profession
10,porucznikami,porucznik,subst:pl:inst:m1,profession
11,porucznikach,porucznik,subst:pl:loc:m1,profession
12,pastor,pastor,subst:sg:nom:m1,profession
13,pastora,pastor,subst:sg:gen.acc:m1,profession
14,pastorowi,pastor,subst:sg:dat:m1,profession
15,pastorem,pastor,subst:sg:inst:m1,profession
16,pastorze,pastor,subst:sg:loc:m1,profession
17,pastorze,pastor,subst:sg:voc:m1,profession
18,pastorowie,pastor,subst:pl:nom.voc:m1,profession
19,pastorzy,pastor,subst:pl:nom.voc:m1,profession
20,pastorów,pastor,subst:pl:gen.acc:m1,profession
21,pastorom,pastor,subst:pl:dat:m1,profession
22,pastorami,pastor,subst:pl:inst:m1,profession
23,pastorach,pastor,subst:pl:loc:m1,profession
24,ksiądz,ksiądz,subst:sg:nom:m1,profession
25,księdza,ksiądz,subst:sg:gen.acc:m1,profession
26,księdzu,ksiądz,subst:sg:dat:m1,profession
27,księdzem,ksiądz,subst:sg:inst:m1,profession
28,księdzu,ksiądz,subst:sg:loc:m1,profession
29,księże,ksiądz,subst:sg:voc:m1,profession
30,księża,ksiądz,subst:pl:nom.voc:m1,profession
31,księży,ksiądz,subst:pl:gen.acc:m1,profession
32,księżom,ksiądz,subst:pl:dat:m1,profession
33,księżmi,ksiądz,subst:pl:inst:m1,profession
34,księżach,ksiądz,subst:pl:loc:m1,profession
35,lump,lump,subst:sg:nom:m1,profession
36,lumpa,lump,subst:sg:gen.acc:m1,profession
37,lumpowi,lump,subst:sg:dat:m1,profession
38,lumpem,lump,subst:sg:inst:m1,profession
39,lumpie,lump,subst:sg:loc:m1,profession
40,lumpie,lump,subst:sg:voc:m1,profession
41,lumpowie,lump,subst:pl:nom.voc:m1,profession
42,lumpów,lump,subst:pl:gen.acc:m1,profession
43,lumpom,lump,subst:pl:dat:m1,profession
44,lumpami,lump,subst:pl:inst:m1,profession
45,lumpach,lump,subst:pl:loc:m1,profession
46,lump,lump,subst:sg:nom.acc:m3,profession
